# Time Tags Distribution
# 2016-02-18 12:52:12
# Unit Time Diff: s
# Unit Count: 1
# Time Diff ; Count
 1.0054054E-007 ;  8.3900000E+002
 1.0135135E-007 ;  8.3900000E+002
 1.0216216E-007 ;  8.3800000E+002
 1.0297297E-007 ;  8.2700000E+002
 1.0378378E-007 ;  8.4200000E+002
 1.0459459E-007 ;  8.4100000E+002
 1.0540541E-007 ;  8.3700000E+002
 1.0621622E-007 ;  8.4700000E+002
 1.0702703E-007 ;  7.6200000E+002
 1.0783784E-007 ;  7.5100000E+002
 1.0864865E-007 ;  7.9100000E+002
 1.0945946E-007 ;  7.8200000E+002
 1.1027027E-007 ;  8.1400000E+002
 1.1108108E-007 ;  8.2300000E+002
 1.1189189E-007 ;  8.1400000E+002
 1.1270270E-007 ;  8.1600000E+002
 1.1351351E-007 ;  7.5900000E+002
 1.1432432E-007 ;  7.3400000E+002
 1.1513514E-007 ;  7.5200000E+002
 1.1594595E-007 ;  7.6300000E+002
 1.1675676E-007 ;  7.3300000E+002
 1.1756757E-007 ;  7.6400000E+002
 1.1837838E-007 ;  7.7700000E+002
 1.1918919E-007 ;  8.1200000E+002
 1.2000000E-007 ;  8.2100000E+002
 1.2081081E-007 ;  7.3100000E+002
 1.2162162E-007 ;  7.2700000E+002
 1.2243243E-007 ;  7.1900000E+002
 1.2324324E-007 ;  6.2900000E+002
 1.2405405E-007 ;  6.9500000E+002
 1.2486486E-007 ;  7.2300000E+002
 1.2567568E-007 ;  6.6100000E+002
 1.2648649E-007 ;  7.3000000E+002
 1.2729730E-007 ;  6.9200000E+002
 1.2810811E-007 ;  7.0500000E+002
 1.2891892E-007 ;  7.1600000E+002
 1.2972973E-007 ;  7.1900000E+002
 1.3054054E-007 ;  6.7000000E+002
 1.3135135E-007 ;  6.6200000E+002
 1.3216216E-007 ;  7.0400000E+002
 1.3297297E-007 ;  6.6100000E+002
 1.3378378E-007 ;  6.7200000E+002
 1.3459459E-007 ;  6.8100000E+002
 1.3540541E-007 ;  7.0400000E+002
 1.3621622E-007 ;  6.7400000E+002
 1.3702703E-007 ;  6.9900000E+002
 1.3783784E-007 ;  7.4600000E+002
 1.3864865E-007 ;  7.0900000E+002
 1.3945946E-007 ;  7.2500000E+002
 1.4027027E-007 ;  6.8900000E+002
 1.4108108E-007 ;  6.5000000E+002
 1.4189189E-007 ;  6.5200000E+002
 1.4270270E-007 ;  6.2800000E+002
 1.4351351E-007 ;  6.8700000E+002
 1.4432432E-007 ;  7.1400000E+002
 1.4513514E-007 ;  7.3300000E+002
 1.4594595E-007 ;  6.5500000E+002
 1.4675676E-007 ;  6.5400000E+002
 1.4756757E-007 ;  6.7700000E+002
 1.4837838E-007 ;  6.9800000E+002
 1.4918919E-007 ;  7.2600000E+002
 1.5000000E-007 ;  6.5000000E+002
 1.5081081E-007 ;  6.6500000E+002
 1.5162162E-007 ;  6.8200000E+002
 1.5243243E-007 ;  6.5200000E+002
 1.5324324E-007 ;  6.6100000E+002
 1.5405405E-007 ;  6.7500000E+002
 1.5486486E-007 ;  7.0200000E+002
 1.5567568E-007 ;  6.8900000E+002
 1.5648649E-007 ;  6.5300000E+002
 1.5729730E-007 ;  6.3900000E+002
 1.5810811E-007 ;  6.9600000E+002
 1.5891892E-007 ;  6.2100000E+002
 1.5972973E-007 ;  6.8900000E+002
 1.6054054E-007 ;  5.6900000E+002
 1.6135135E-007 ;  6.4100000E+002
 1.6216216E-007 ;  6.1000000E+002
 1.6297297E-007 ;  6.2700000E+002
 1.6378378E-007 ;  6.7000000E+002
 1.6459459E-007 ;  6.8700000E+002
 1.6540541E-007 ;  7.0800000E+002
 1.6621622E-007 ;  6.7400000E+002
 1.6702703E-007 ;  6.7300000E+002
 1.6783784E-007 ;  6.8700000E+002
 1.6864865E-007 ;  6.5100000E+002
 1.6945946E-007 ;  5.9200000E+002
 1.7027027E-007 ;  6.3100000E+002
 1.7108108E-007 ;  6.4200000E+002
 1.7189189E-007 ;  6.6600000E+002
 1.7270270E-007 ;  6.1500000E+002
 1.7351351E-007 ;  6.8200000E+002
 1.7432432E-007 ;  6.7100000E+002
 1.7513514E-007 ;  6.9900000E+002
 1.7594595E-007 ;  6.4200000E+002
